JobID           JobName      State    Elapsed ExitCode 
------------ ---------- ---------- ---------- -------- 
56           jupyter-a+ CANCELLED+   00:11:10      0:0 
56.batch          batch  CANCELLED   00:11:11     0:15 
57                 test  COMPLETED   00:00:00      0:0 
57.batch          batch  COMPLETED   00:00:00      0:0 
58                 test  COMPLETED   00:00:01      0:0 
58.batch          batch  COMPLETED   00:00:01      0:0 
59             hostname  COMPLETED   00:00:00      0:0 
59.0           hostname  COMPLETED   00:00:00      0:0 
60                 test  COMPLETED   00:00:00      0:0 
60.batch          batch  COMPLETED   00:00:00      0:0 
61                 test  COMPLETED   00:00:00      0:0 
61.batch          batch  COMPLETED   00:00:00      0:0 
61.0           hostname  COMPLETED   00:00:00      0:0 
61.1         nvidia-smi  COMPLETED   00:00:00      0:0 
62             gpu-burn  COMPLETED   00:02:35      0:0 
62.batch          batch  COMPLETED   00:02:35      0:0 
62.0               bash  COMPLETED   00:02:35      0:0 
63             gpu-burn  COMPLETED   00:02:36      0:0 
63.batch          batch  COMPLETED   00:02:36      0:0 
63.0               bash  COMPLETED   00:02:34      0:0 
64             gpu-burn  COMPLETED   00:02:36      0:0 
64.batch          batch  COMPLETED   00:02:36      0:0 
64.0               bash  COMPLETED   00:02:35      0:0 
65             gpu-burn  COMPLETED   00:05:33      0:0 
65.batch          batch  COMPLETED   00:05:33      0:0 
65.0               bash  COMPLETED   00:05:33      0:0 
66_1         cpu_single     FAILED   00:00:00     0:53 
66_1.batch        batch  CANCELLED   00:00:00     0:53 
66_2         cpu_single     FAILED   00:00:00     0:53 
66_2.batch        batch  CANCELLED   00:00:00     0:53 
66_3         cpu_single     FAILED   00:00:00     0:53 
66_3.batch        batch  CANCELLED   00:00:00     0:53 
66_4         cpu_single     FAILED   00:00:00     0:53 
66_4.batch        batch  CANCELLED   00:00:00     0:53 
66_5         cpu_single     FAILED   00:00:00     0:53 
66_5.batch        batch  CANCELLED   00:00:00     0:53 
66_6         cpu_single     FAILED   00:00:00     0:53 
66_6.batch        batch  CANCELLED   00:00:00     0:53 
66_7         cpu_single     FAILED   00:00:00     0:53 
66_7.batch        batch  CANCELLED   00:00:00     0:53 
66_8         cpu_single     FAILED   00:00:00     0:53 
66_8.batch        batch  CANCELLED   00:00:00     0:53 
66_9         cpu_single     FAILED   00:00:00     0:53 
66_9.batch        batch  CANCELLED   00:00:00     0:53 
66_10        cpu_single     FAILED   00:00:00     0:53 
66_10.batch       batch  CANCELLED   00:00:00     0:53 
66_11        cpu_single     FAILED   00:00:00     0:53 
66_11.batch       batch  CANCELLED   00:00:00     0:53 
66_12        cpu_single     FAILED   00:00:00     0:53 
66_12.batch       batch  CANCELLED   00:00:00     0:53 
66_13        cpu_single     FAILED   00:00:00     0:53 
66_13.batch       batch  CANCELLED   00:00:00     0:53 
66_14        cpu_single     FAILED   00:00:00     0:53 
66_14.batch       batch  CANCELLED   00:00:00     0:53 
66_15        cpu_single     FAILED   00:00:00     0:53 
66_15.batch       batch  CANCELLED   00:00:00     0:53 
66_16        cpu_single     FAILED   00:00:00     0:53 
66_16.batch       batch  CANCELLED   00:00:00     0:53 
66_17        cpu_single     FAILED   00:00:00     0:53 
66_17.batch       batch  CANCELLED   00:00:00     0:53 
66_18        cpu_single     FAILED   00:00:00     0:53 
66_18.batch       batch  CANCELLED   00:00:00     0:53 
66_19        cpu_single     FAILED   00:00:00     0:53 
66_19.batch       batch  CANCELLED   00:00:00     0:53 
66_20        cpu_single     FAILED   00:00:00     0:53 
66_20.batch       batch  CANCELLED   00:00:00     0:53 
66_21        cpu_single     FAILED   00:00:00     0:53 
66_21.batch       batch  CANCELLED   00:00:00     0:53 
66_22        cpu_single     FAILED   00:00:00     0:53 
66_22.batch       batch  CANCELLED   00:00:00     0:53 
66_23        cpu_single     FAILED   00:00:00     0:53 
66_23.batch       batch  CANCELLED   00:00:00     0:53 
66_24        cpu_single     FAILED   00:00:00     0:53 
66_24.batch       batch  CANCELLED   00:00:00     0:53 
66_25        cpu_single     FAILED   00:00:00     0:53 
66_25.batch       batch  CANCELLED   00:00:00     0:53 
66_26        cpu_single     FAILED   00:00:00     0:53 
66_26.batch       batch  CANCELLED   00:00:00     0:53 
66_27        cpu_single     FAILED   00:00:00     0:53 
66_27.batch       batch  CANCELLED   00:00:00     0:53 
66_28        cpu_single     FAILED   00:00:00     0:53 
66_28.batch       batch  CANCELLED   00:00:00     0:53 
66_29        cpu_single     FAILED   00:00:00     0:53 
66_29.batch       batch  CANCELLED   00:00:00     0:53 
66_30        cpu_single     FAILED   00:00:00     0:53 
66_30.batch       batch  CANCELLED   00:00:00     0:53 
66_31        cpu_single     FAILED   00:00:00     0:53 
66_31.batch       batch  CANCELLED   00:00:00     0:53 
66_32        cpu_single     FAILED   00:00:00     0:53 
66_32.batch       batch  CANCELLED   00:00:00     0:53 
66_33        cpu_single     FAILED   00:00:00     0:53 
66_33.batch       batch  CANCELLED   00:00:00     0:53 
66_34        cpu_single     FAILED   00:00:00     0:53 
66_34.batch       batch  CANCELLED   00:00:00     0:53 
66_35        cpu_single     FAILED   00:00:00     0:53 
66_35.batch       batch  CANCELLED   00:00:00     0:53 
66_36        cpu_single     FAILED   00:00:00     0:53 
66_36.batch       batch  CANCELLED   00:00:00     0:53 
102_1        cpu_single     FAILED   00:00:01    127:0 
102_1.batch       batch     FAILED   00:00:01    127:0 
102_2        cpu_single     FAILED   00:00:01    127:0 
102_2.batch       batch     FAILED   00:00:01    127:0 
102_3        cpu_single     FAILED   00:00:01    127:0 
102_3.batch       batch     FAILED   00:00:01    127:0 
102_4        cpu_single     FAILED   00:00:02    127:0 
102_4.batch       batch     FAILED   00:00:02    127:0 
102_5        cpu_single     FAILED   00:00:01    127:0 
102_5.batch       batch     FAILED   00:00:01    127:0 
102_6        cpu_single     FAILED   00:00:01    127:0 
102_6.batch       batch     FAILED   00:00:01    127:0 
102_7        cpu_single  COMPLETED   00:03:04      0:0 
102_7.batch       batch  COMPLETED   00:03:04      0:0 
